ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAIizQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.ChipPerformence	chipperformence	1591024169011	 	3.3.1
USER	Update	237	START	1591024171269	1591024171269
USER	Show	449	START	1591024171269	1591024171269
USER	Update	238	START	1591024171270	1591024171270
USER	Delete	660	START	1591024171270	1591024171270
USER	Show	450	START	1591024171271	1591024171271
USER	Delete	661	START	1591024171271	1591024171271
USER	Update	239	START	1591024171271	1591024171271
USER	Show	451	START	1591024171271	1591024171271
USER	Delete	662	START	1591024171272	1591024171272
USER	Create	36	START	1591024171265	1591024171265
USER	Update	233	START	1591024171258	1591024171258
USER	Create	34	START	1591024171257	1591024171257
USER	Create	33	START	1591024171250	1591024171250
USER	Delete	655	START	1591024171253	1591024171253
USER	Show	443	START	1591024171212	1591024171212
REQUEST	416		Home	1591024171003	1591024171147	OK	 
REQUEST	210		Home	1591024170995	1591024171255	OK	 
REQUEST	417		Home	1591024171019	1591024171262	OK	 
REQUEST	413		Home	1591024171000	1591024171308	OK	 
USER	Update	240	START	1591024171346	1591024171346
USER	Show	452	START	1591024171347	1591024171347
USER	Delete	663	START	1591024171348	1591024171348
USER	Update	241	START	1591024171348	1591024171348
USER	Show	453	START	1591024171348	1591024171348
USER	Update	242	START	1591024171349	1591024171349
REQUEST	4		Home	1591024170994	1591024171347	OK	 
USER	Delete	664	START	1591024171348	1591024171348
USER	Show	454	START	1591024171373	1591024171373
USER	Delete	665	START	1591024171374	1591024171374
USER	Update	243	START	1591024171375	1591024171375
USER	Show	455	START	1591024171375	1591024171375
USER	Delete	666	START	1591024171376	1591024171376
USER	Create	37	START	1591024171377	1591024171377
USER	Update	244	START	1591024171379	1591024171379
USER	Show	456	START	1591024171382	1591024171382
USER	Delete	667	START	1591024171383	1591024171383
USER	Create	38	START	1591024171385	1591024171385
USER	Show	457	START	1591024171386	1591024171386
USER	Update	245	START	1591024171385	1591024171385
USER	Create	39	START	1591024171387	1591024171387
USER	Delete	668	START	1591024171387	1591024171387
USER	Update	246	START	1591024171388	1591024171388
USER	Show	458	START	1591024171388	1591024171388
USER	Delete	669	START	1591024171388	1591024171388
USER	Update	247	START	1591024171389	1591024171389
USER	Create	40	START	1591024171389	1591024171389
USER	Show	459	START	1591024171390	1591024171390
USER	Delete	670	START	1591024171390	1591024171390
USER	Update	248	START	1591024171391	1591024171391
USER	Create	41	START	1591024171391	1591024171391
USER	Show	460	START	1591024171391	1591024171391
USER	Delete	671	START	1591024171392	1591024171392
USER	Update	249	START	1591024171392	1591024171392
USER	Create	42	START	1591024171392	1591024171392
USER	Show	461	START	1591024171393	1591024171393
USER	Delete	672	START	1591024171394	1591024171394
USER	Create	43	START	1591024171394	1591024171394
USER	Update	250	START	1591024171394	1591024171394
USER	Show	462	START	1591024171395	1591024171395
USER	Delete	673	START	1591024171395	1591024171395
USER	Create	44	START	1591024171395	1591024171395
USER	Update	251	START	1591024171395	1591024171395
USER	Show	463	START	1591024171396	1591024171396
USER	Delete	674	START	1591024171396	1591024171396
USER	Create	45	START	1591024171403	1591024171403
USER	Update	252	START	1591024171404	1591024171404
USER	Show	464	START	1591024171405	1591024171405
USER	Delete	675	START	1591024171406	1591024171406
USER	Create	46	START	1591024171407	1591024171407
USER	Update	253	START	1591024171409	1591024171409
USER	Show	465	START	1591024171410	1591024171410
USER	Delete	676	START	1591024171411	1591024171411
USER	Create	47	START	1591024171412	1591024171412
USER	Update	254	START	1591024171413	1591024171413
USER	Show	466	START	1591024171414	1591024171414
USER	Delete	677	START	1591024171418	1591024171418
USER	Create	48	START	1591024171428	1591024171428
USER	Update	255	START	1591024171429	1591024171429
USER	Show	467	START	1591024171430	1591024171430
USER	Create	49	START	1591024171431	1591024171431
USER	Update	256	START	1591024171431	1591024171431
USER	Delete	678	START	1591024171430	1591024171430
USER	Delete	679	START	1591024171434	1591024171434
USER	Show	468	START	1591024171432	1591024171432
USER	Create	50	START	1591024171439	1591024171439
USER	Update	257	START	1591024171440	1591024171440
USER	Delete	680	START	1591024171442	1591024171442
USER	Show	469	START	1591024171442	1591024171442
USER	Create	51	START	1591024171457	1591024171457
USER	Update	258	START	1591024171459	1591024171459
USER	Show	470	START	1591024171460	1591024171460
USER	Delete	681	START	1591024171461	1591024171461
USER	Create	52	START	1591024171462	1591024171462
USER	Update	259	START	1591024171463	1591024171463
USER	Delete	682	START	1591024171465	1591024171465
REQUEST	414		Home	1591024171001	1591024171466	OK	 
USER	Create	53	START	1591024171474	1591024171474
USER	Update	260	START	1591024171474	1591024171474
USER	Show	471	START	1591024171475	1591024171475
USER	Delete	683	START	1591024171476	1591024171476
USER	Create	54	START	1591024171504	1591024171504
USER	Update	261	START	1591024171505	1591024171505
USER	Show	472	START	1591024171506	1591024171506
USER	Delete	684	START	1591024171507	1591024171507
USER	Create	55	START	1591024171508	1591024171508
USER	Update	262	START	1591024171508	1591024171508
USER	Show	473	START	1591024171510	1591024171510
USER	Delete	685	START	1591024171510	1591024171510
USER	Update	263	START	1591024171511	1591024171511
USER	Show	474	START	1591024171512	1591024171512
USER	Delete	686	START	1591024171513	1591024171513
USER	Create	56	START	1591024171510	1591024171510
USER	Create	57	START	1591024171514	1591024171514
USER	Show	475	START	1591024171516	1591024171516
USER	Delete	687	START	1591024171518	1591024171518
USER	Update	265	START	1591024171519	1591024171519
USER	Show	476	START	1591024171519	1591024171519
USER	Delete	688	START	1591024171519	1591024171519
REQUEST	207		Home	1591024170998	1591024171503	OK	 
USER	Create	58	START	1591024171518	1591024171518
USER	Update	264	START	1591024171515	1591024171515
USER	Create	59	START	1591024171553	1591024171553
USER	Update	266	START	1591024171554	1591024171554
USER	Show	477	START	1591024171555	1591024171555
USER	Create	60	START	1591024171558	1591024171558
USER	Delete	690	START	1591024171559	1591024171559
USER	Create	61	START	1591024171559	1591024171559
USER	Update	268	START	1591024171560	1591024171560
USER	Show	479	START	1591024171560	1591024171560
USER	Delete	691	START	1591024171561	1591024171561
USER	Create	62	START	1591024171561	1591024171561
USER	Update	269	START	1591024171562	1591024171562
USER	Show	480	START	1591024171563	1591024171563
USER	Delete	692	START	1591024171563	1591024171563
USER	Create	63	START	1591024171568	1591024171568
USER	Update	270	START	1591024171569	1591024171569
USER	Show	481	START	1591024171570	1591024171570
USER	Delete	693	START	1591024171571	1591024171571
USER	Delete	689	START	1591024171556	1591024171556
USER	Create	64	START	1591024171578	1591024171578
USER	Update	271	START	1591024171579	1591024171579
USER	Show	482	START	1591024171579	1591024171579
USER	Delete	694	START	1591024171580	1591024171580
USER	Show	478	START	1591024171559	1591024171559
USER	Update	267	START	1591024171559	1591024171559
USER	Create	65	START	1591024171609	1591024171609
USER	Show	483	START	1591024171609	1591024171609
USER	Update	272	START	1591024171609	1591024171609
USER	Delete	695	START	1591024171610	1591024171610
USER	Create	66	START	1591024171610	1591024171610
REQUEST	3		Home	1591024170999	1591024171612	OK	 
USER	Update	273	START	1591024171611	1591024171611
USER	Delete	696	START	1591024171614	1591024171614
USER	Show	484	START	1591024171611	1591024171611
USER	Create	67	START	1591024171615	1591024171615
USER	Update	274	START	1591024171615	1591024171615
USER	Show	485	START	1591024171615	1591024171615
USER	Delete	697	START	1591024171616	1591024171616
USER	Create	68	START	1591024171616	1591024171616
USER	Update	275	START	1591024171616	1591024171616
USER	Delete	698	START	1591024171617	1591024171617
USER	Show	486	START	1591024171617	1591024171617
USER	Create	69	START	1591024171637	1591024171637
USER	Delete	699	START	1591024171638	1591024171638
USER	Show	487	START	1591024171636	1591024171636
USER	Create	70	START	1591024171639	1591024171639
USER	Show	488	START	1591024171640	1591024171640
USER	Delete	700	START	1591024171641	1591024171641
USER	Update	276	START	1591024171646	1591024171646
USER	Create	71	START	1591024171649	1591024171649
USER	Update	278	START	1591024171652	1591024171652
USER	Show	489	START	1591024171653	1591024171653
USER	Delete	701	START	1591024171653	1591024171653
REQUEST	624		Home	1591024171018	1591024171642	OK	 
USER	Update	279	START	1591024171663	1591024171663
USER	Create	72	START	1591024171662	1591024171662
USER	Show	490	START	1591024171664	1591024171664
USER	Delete	702	START	1591024171664	1591024171664
REQUEST	623		Home	1591024171015	1591024171657	OK	 
USER	Update	277	START	1591024171639	1591024171639
REQUEST	204		Home	1591024170994	1591024171658	OK	 
REQUEST	421		Home	1591024171013	1591024171645	OK	 
USER	Show	492	START	1591024171700	1591024171700
USER	Delete	704	START	1591024171701	1591024171701
USER	Create	75	START	1591024171703	1591024171703
REQUEST	7		Home	1591024171022	1591024171672	OK	 
USER	Update	282	START	1591024171705	1591024171705
USER	Update	281	START	1591024171700	1591024171700
REQUEST	412		Home	1591024171000	1591024171681	OK	 
REQUEST	631		Home	1591024171025	1591024171709	OK	 
USER	Create	74	START	1591024171699	1591024171699
REQUEST	420		Home	1591024171012	1591024171713	OK	 
REQUEST	209		Home	1591024170994	1591024171671	OK	 
USER	Delete	703	START	1591024171699	1591024171699
USER	Show	491	START	1591024171699	1591024171699
REQUEST	625		Home	1591024171019	1591024171717	OK	 
USER	Update	280	START	1591024171698	1591024171698
REQUEST	628		Home	1591024171020	1591024171717	OK	 
REQUEST	633		Home	1591024171026	1591024171723	OK	 
REQUEST	636		Home	1591024171029	1591024171723	OK	 
REQUEST	418		Home	1591024171008	1591024171726	OK	 
REQUEST	9		Home	1591024171029	1591024171727	OK	 
REQUEST	12		Home	1591024171031	1591024171728	OK	 
REQUEST	626		Home	1591024171020	1591024171729	OK	 
REQUEST	425		Home	1591024171040	1591024171730	OK	 
REQUEST	212		Home	1591024171037	1591024171730	OK	 
